gene_id	TCGA-05-4417-01A-22R-1858-07	TCGA-35-3615-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-44-7671-01A-11R-2066-07	TCGA-55-7281-01A-11R-2039-07	TCGA-55-8203-01A-11R-2241-07	TCGA-55-8299-01A-11R-2287-07	TCGA-55-8615-01A-11R-2403-07	TCGA-62-A46S-01A-11R-A24H-07	TCGA-69-7980-01A-11R-2187-07	TCGA-78-7148-01A-11R-2039-07	TCGA-78-7160-01A-11R-2039-07	TCGA-78-7161-01A-11R-2039-07	TCGA-86-7713-01A-11R-2066-07	TCGA-4B-A93V-01A-11R-A39D-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6975-01A-11R-1949-07	TCGA-55-7283-01A-11R-2039-07	TCGA-55-7911-01A-11R-2170-07	TCGA-55-7914-01A-11R-2170-07	TCGA-55-8514-01A-11R-2403-07	TCGA-69-7978-01A-11R-2187-07
C6orf225|619208	84.5053	115.984	56.7529	127.609	187.464	89.7786	156.275	58.8235	30.4636	160.759	49.4549	57.4132	58.0536	12.0243	33.677	54.0878	87.1752	119.799	33.3025	117.941	114.839	52.7909
C6orf226|441150	31.1335	80.8967	71.1207	60.8113	76.3533	73.1979	39.7023	139.572	86.9757	125.239	42.0101	83.2808	82.6713	72.1457	126.529	28.5747	60.3521	83.7093	94.6214	40.4798	145.806	34.6335
C6orf227|401253	4.4476	0.3249	2.1552	0.3151	7.4074	7.2793	0	9.6257	4.415	3.3683	1.0635	1.8927	2.9394	1.9239	0	0.5103	2.5147	0.5013	0.5286	0.4998	10.3226	1.0087
C6orf25|80739	0	0.3249	0	0.3151	0	0.4044	0	0.5348	0	0	0	1.2618	0	0	0.9622	0.5103	0.8382	0.5013	1.5858	0	1.2903	0.3362
C6orf26|401251	18.426	37.1995	73.9943	42.2213	19.943	80.7724	18.4531	92.893	197.161	90.2917	34.0335	20.9527	100.973	140.052	106.227	17.5888	16.5549	10.3759	54.8381	26.9865	88.9548	76.9939
C6orf27|80737	61.6317	150.097	450.431	320.756	13.6752	152.866	24.9195	204.278	511.7	342.647	228.131	88.959	268.957	484.819	117.87	84.7036	56.1609	76.6917	64.4906	57.971	43.871	688.299
C6orf35|729515	344.375	249.838	398.707	229.697	353.276	232.939	234.835	242.246	159.823	192.605	361.074	362.145	243.972	128.179	216.014	237.782	452.64	138.346	185.542	191.904	165.806	209.818
C6orf41|100133205	14.6137	14.6199	12.2126	6.9319	17.094	22.2424	8.8697	18.1818	2.649	32.4581	1.0635	13.2492	10.6554	57.4761	11.5464	2.0411	2.5147	27.0677	6.8719	7.4963	18.0645	2.69
C6orf47|57827	585.184	947.368	1071.84	441.434	886.04	1168.74	749.697	876.471	843.709	661.716	667.908	545.11	881.092	664.943	491.204	677.119	769.489	1371.43	409.145	981.01	1049.68	1182.25
C6orf48|50854	1186.25	7958.74	2821.12	2879.24	1112.25	2229.1	1143.34	3836.9	1274.61	1152.57	1778.78	1556.47	2928.77	2571.75	2399.25	1408.32	1574.18	2840.6	873.265	4116.44	2676.13	2193.01
C6orf52|347744	4.4476	18.5185	23.7069	92.6349	3.9886	2.8309	18.584	20.3209	8.83	3.6745	3.7224	66.877	11.3903	8.1765	19.7251	2.5513	9.2205	16.5414	10.5722	18.4908	0.6452	4.035
C6orf57|135154	87.0469	150.097	48.8506	47.2627	54.7009	80.0728	93.7649	57.2193	46.7991	72.2652	146.238	112.303	73.853	50.983	94.2957	61.2315	103.101	63.6591	75.5914	46.4768	53.5484	58.5071
C6orf58|352999	0	0	0	0.3151	0	0.4044	0.4224	0	0.4415	0.3062	1.5953	0.6309	0.3674	0	0.9622	0.5103	0	0	0.5286	0.4998	0.6452	1.0087
C6orf59|79992	5.7184	0.9747	5.0287	1.8905	3.9886	2.4264	4.646	3.2086	5.298	1.2248	1.5953	5.0473	1.4697	0.481	3.3677	2.0411	3.3529	1.0025	1.5858	2.9985	3.2258	5.0437
C6orf62|81688	2943.7	6835.66	4443.85	2924.39	2664.84	4420.4	3689.1	3664.89	5337.13	3449.43	3270.83	4167.35	4249.85	4647.25	1947.34	4998.23	3694.03	3323.79	6135.37	4944.73	2620.11	3724.95
C6orf64|55776	511.48	831.709	803.161	674.281	509.402	780.508	473.471	555.615	481.236	1149.51	478.596	690.221	744.409	487.465	254.983	569.453	462.699	769.424	575.658	789.105	416.774	475.118
C6orf70|55780	170.917	266.082	273.707	285.467	236.467	195.733	303.68	179.679	251.656	164.434	263.228	189.274	344.28	187.338	233.334	118.381	166.806	172.431	241.047	182.909	867.097	187.29
C6orf72|116254	643.003	349.253	746.408	629.539	470.086	370.033	593.422	439.572	661.81	380.005	642.914	558.99	560.695	326.099	254.502	542.919	714.166	323.308	364.213	283.858	542.581	506.389
C6orf81|221481	1.9061	4.8733	1.4368	8.5073	4.5584	1.6176	4.646	8.0214	3.0905	16.8415	1.5953	2.5237	34.9056	0.7215	3.8488	1.0205	5.0293	4.5113	13.2153	2.4988	2.5806	3.3625
C6orf89|221477	2664.14	2925.6	3555.32	3376.45	2098.58	2710.34	2323.01	2247.59	3178.81	5175.84	2626.96	2765.93	3107.34	1462.63	1268.18	2987.59	2297.57	3277.69	2006.08	3726.14	2342.58	3324.48
C6orf94|153918	0	0.3249	0	0	0	0	0.8447	0	0	0	0	0	1.4183	0	0	0	0	0	0	0	0	0
C6orf97|80129	97.2129	55.8804	55.3161	437.653	128.205	29.1174	37.5905	9.6257	44.5916	93.0873	31.9064	177.287	139.255	17.5555	53.4022	65.8239	34.3671	536.341	29.0736	31.984	49.0323	111.298
